iter	RMSE
0	1.176052623
1	1.150183141
2	1.125377125
3	1.101634841
4	1.079311627
5	1.057938985
6	1.037628781
7	1.01843877
8	1.000140027
9	0.9823764037
10	0.9658167583
11	0.9503056105
12	0.9354092806
13	0.9209265908
14	0.907382474
15	0.8942309684
16	0.881828864
17	0.8701037661
18	0.8589238984
19	0.8486279389
20	0.8385553577
21	0.8290735758
22	0.8199315147
23	0.8112192028
24	0.8028013063
25	0.7950619556
26	0.7876033262
27	0.7804892959
28	0.7735819174
29	0.7672467688
30	0.7608482827
31	0.7547134872
32	0.7487733001
33	0.743044802
34	0.7378164688
35	0.7328424252
36	0.7280698383
37	0.7232642027
38	0.718978227
39	0.7152198794
40	0.7113726411
41	0.7073523205
42	0.7035271276
43	0.7000853182
44	0.6969579065
45	0.6934545988
46	0.6905590779
47	0.6877158636
48	0.684846913
49	0.6819960078
50	0.6792955639
51	0.6770180868
52	0.6746255271
53	0.6720790169
54	0.6698130076
55	0.6678656211
56	0.6658908832
57	0.663778818
58	0.6616652212
59	0.6596913639
60	0.6579557015
61	0.655825912
62	0.654298982
63	0.6526796646
64	0.6510254124
65	0.649419098
66	0.6479297884
67	0.6460872403
68	0.6445031056
69	0.6431213797
70	0.641971676
71	0.6407417622
72	0.6394429133
73	0.6380463276
74	0.6366589909
75	0.6353764158
76	0.6339103878
77	0.6324039363
78	0.6314082414
79	0.6303516022
80	0.629529322
81	0.6283838279
82	0.6273317906
83	0.626165657
84	0.6249239328
85	0.6239171438
86	0.6231584037
87	0.6223614095
88	0.6212150488
89	0.6202467131
90	0.619431334
91	0.6185918774
92	0.6177442426
93	0.6171103066
94	0.6160907801
95	0.6151405461
96	0.6142081672
97	0.6132775178
98	0.6123546511
99	0.6115608635
100	0.6107475141
101	0.6100695691
102	0.6092571668
103	0.6084812374
104	0.6076919717
105	0.6069541395
106	0.6064026078
107	0.6057512873
108	0.6051889567
109	0.6044901774
110	0.6038398726
111	0.6033405046
112	0.6027825808
113	0.6020483434
114	0.6013083712
115	0.6004395462
116	0.5998931521
117	0.599263891
118	0.5987265182
119	0.5980539596
120	0.597337557
121	0.5966347461
122	0.5959908116
123	0.5952858745
124	0.5948282635
125	0.5943231018
126	0.5936780304
127	0.5932180845
128	0.5927144648
129	0.5922905911
130	0.5916822564
131	0.5911806348
132	0.5906854867
133	0.5900095442
134	0.589506241
135	0.5890912949
136	0.5886141776
137	0.5881104508
138	0.5876336693
139	0.5871335476
140	0.5865876939
141	0.5862249553
142	0.5857568779
143	0.5853298259
144	0.5847636676
145	0.5842341745
146	0.5837786663
147	0.5832347115
148	0.58282456
149	0.5823200758
150	0.5817308903
151	0.5811674179
152	0.5807892552
153	0.580275998
154	0.5799183558
155	0.579592724
156	0.5791594697
157	0.5787476314
158	0.5783802352
159	0.578072173
160	0.5777944882
161	0.5773914035
162	0.5770478851
163	0.576719504
164	0.5762765562
165	0.5759573196
166	0.5756018664
167	0.5752140088
168	0.574793196
169	0.5744846318
170	0.5741964194
171	0.573811039
172	0.5734669368
173	0.5732322121
174	0.5728396529
175	0.5723973243
176	0.5720131344
177	0.5717493558
178	0.5714530798
179	0.5711473259
180	0.5708005896
181	0.5704261736
182	0.5701179006
183	0.5697283198
184	0.5693958634
185	0.5689728631
186	0.5686342008
187	0.5682601909
188	0.5678941131
189	0.5676228225
190	0.5673834467
191	0.5671177358
192	0.5669037967
193	0.5664760314
194	0.5660893385
195	0.5658099243
196	0.565543716
197	0.5652204119
198	0.564968784
199	0.5646584714
200	0.5644112404
201	0.5642010475
202	0.5638426093
203	0.563522756
204	0.5632702372
205	0.5629226079
206	0.5626663536
207	0.5623825096
208	0.5621111891
209	0.5618190643
210	0.561583615
211	0.5613877021
212	0.5611043962
213	0.560777302
214	0.5604924026
215	0.5601538856
216	0.5598900185
217	0.5596428937
218	0.5594035587
219	0.559149274
220	0.5589555821
221	0.5586306156
222	0.5582906893
223	0.5579566555
224	0.5576682399
225	0.5573772735
226	0.5571517787
227	0.5569196393
228	0.5567080241
229	0.5564231121
230	0.5561365664
231	0.5558803789
232	0.5556359062
233	0.5554182254
234	0.5551114144
235	0.5549132142
236	0.5547272124
237	0.5545284909
238	0.5543484805
239	0.5540530355
240	0.5538195263
241	0.5535625694
242	0.5533341741
243	0.5529709804
244	0.5527100215
245	0.5525382473
246	0.5523224069
247	0.5520431341
248	0.5518237182
249	0.5516163526
250	0.5512964297
251	0.551065729
252	0.5508609409
253	0.5505793945
254	0.5503321418
255	0.5501570613
256	0.5499763162
257	0.5497846143
258	0.5495685724
259	0.5493744384
260	0.5490973006
261	0.5488465167
262	0.5486571289
263	0.5484864028
264	0.548335748
265	0.5481262806
266	0.5478974725
267	0.5476540879
268	0.5474594413
269	0.5473106344
270	0.5471380763
271	0.5469211939
272	0.5466848899
273	0.5465222727
274	0.5463950105
275	0.5462462887
276	0.5460879487
277	0.5458775421
278	0.545687669
279	0.545491896
280	0.545302864
281	0.5451153609
282	0.5449162777
283	0.544710488
284	0.5445718603
285	0.5443867562
286	0.5441827822
287	0.5440314721
288	0.5438726427
289	0.5436687353
290	0.5434671034
291	0.5432957118
292	0.5431318727
293	0.542981956
294	0.5428081848
295	0.5426576835
296	0.5424726712
297	0.542211624
298	0.54192959
299	0.5417408372
300	0.5415299872
301	0.541363394
302	0.5412005405
303	0.5410989469
304	0.5409116609
305	0.5407481864
306	0.5405914282
307	0.5403939832
308	0.5401724541
309	0.5399940961
310	0.5398582829
311	0.5396392987
312	0.5394942012
313	0.5393568857
314	0.5391626363
315	0.5389755632
316	0.5388255918
317	0.5386469122
318	0.5384984302
319	0.5383414425
320	0.5381194471
321	0.5379749623
322	0.5377302968
323	0.5375777704
324	0.5373803214
325	0.53716608
326	0.5369993647
327	0.5368526552
328	0.5366225458
329	0.5364691789
330	0.53629659
331	0.5360852142
332	0.5359353259
333	0.5357984868
334	0.5356308902
335	0.5354454064
336	0.5352985526
337	0.5351785517
338	0.53494402
339	0.5348079798
340	0.534673855
341	0.5345483325
342	0.5343472842
343	0.5342189581
344	0.5340069026
345	0.5338549746
346	0.53368819
347	0.5334791624
348	0.5333359751
349	0.5331895889
350	0.5330530941
351	0.5329166736
352	0.5327167777
353	0.5325385064
354	0.5323914186
355	0.5322065079
356	0.5320313357
357	0.5318747485
358	0.5317237355
359	0.5316041469
360	0.5314802291
361	0.5313263676
362	0.5312015974
363	0.5310895622
364	0.5309313408
365	0.5307833674
366	0.5306449813
367	0.5304969155
368	0.5303309777
369	0.530167293
370	0.5300407893
371	0.5298923487
372	0.5297306324
373	0.5295732982
374	0.5294657073
375	0.5293188537
376	0.5291894217
377	0.5290479354
378	0.5289018057
379	0.5288003598
380	0.5286814917
381	0.5285579198
382	0.5284534909
383	0.5283145942
384	0.5282017389
385	0.5280033725
386	0.5278375703
387	0.5277381826
388	0.5275968743
389	0.5274258666
390	0.5272484052
391	0.5271302622
392	0.5269693136
393	0.5268747217
394	0.5267046193
395	0.5265764049
396	0.526444559
397	0.5262709184
398	0.526126784
399	0.5259930556
400	0.525824406
401	0.5257038341
402	0.5255849128
403	0.5254593665
404	0.5253482212
405	0.5252358111
406	0.5250792401
407	0.5249534499
408	0.5248399162
409	0.5247337433
410	0.5245434427
411	0.5243978742
412	0.5242899736
413	0.5241432987
414	0.5239988162
415	0.5238905152
416	0.5237921205
417	0.5236399658
418	0.5235371174
419	0.523389775
420	0.5232615917
421	0.5231444196
422	0.5230231543
423	0.5228822207
424	0.522776848
425	0.5226486817
426	0.5225260869
427	0.5224378029
428	0.5223080534
429	0.522159917
430	0.5220813911
431	0.5219059131
432	0.5217926164
433	0.5216499686
434	0.5215331002
435	0.5213614446
436	0.5212801485
437	0.5211240529
438	0.5210056756
439	0.5209065358
440	0.520791469
441	0.520671841
442	0.5205688493
443	0.5204698856
444	0.5203790182
445	0.5202559794
446	0.5201733537
447	0.520065639
448	0.5199576498
449	0.5198490555
450	0.5197302691
451	0.5196454704
452	0.5195170455
453	0.51940901
454	0.5193237715
455	0.5192058592
456	0.519122438
457	0.5190017734
458	0.5188770964
459	0.5187630143
460	0.5186489319
461	0.5185313215
462	0.5184297543
463	0.5183251083
464	0.5182192227
465	0.5181339364
466	0.5180308841
467	0.517906943
468	0.5177814779
469	0.5176883737
470	0.5175943741
471	0.5174519029
472	0.517352542
473	0.5172500946
474	0.5171619068
475	0.5170304832
476	0.5169021817
477	0.5167942005
478	0.5166985566
479	0.5166135784
480	0.5165067623
481	0.5163546389
482	0.5162372885
483	0.5161182978
484	0.5160166179
485	0.5159285846
486	0.5158293411
487	0.5156933165
488	0.5155944169
489	0.5155003556
490	0.5154125983
491	0.5153363498
492	0.5152103068
493	0.5151101691
494	0.5149837888
495	0.5149036017
496	0.5148263323
497	0.5147311789
498	0.514643442
499	0.5145310195
500	0.5144480643
501	0.514353332
502	0.514191583
503	0.5140605307
504	0.5139645522
505	0.5138509481
506	0.5137474152
507	0.5136523541
508	0.5135615528
509	0.5134798634
510	0.5133762125
511	0.5132696804
512	0.5131996143
513	0.5131156116
514	0.5130304273
515	0.5129258158
516	0.5128336596
517	0.5127489457
518	0.5126698653
519	0.5125801167
520	0.5124869713
521	0.5123735295
522	0.5122872059
523	0.5121484943
524	0.5120205889
525	0.5119188109
526	0.5118032212
527	0.5117275557
528	0.5116110754
529	0.5114809732
530	0.5114162447
531	0.5113283969
532	0.5112400105
533	0.5111685184
534	0.5110725615
535	0.5109864163
536	0.5108927418
537	0.5107674766
538	0.5106817581
539	0.5106075921
540	0.5105155445
541	0.5104371515
542	0.5103634046
543	0.5102526917
544	0.5101382641
545	0.510061362
546	0.5099779004
547	0.5098741357
548	0.5097704697
549	0.5096475076
550	0.5095475981
551	0.5094650008
552	0.5093837662
553	0.5093138369
554	0.5092478441
555	0.5091543304
556	0.5090650561
557	0.5089551504
558	0.5088691274
559	0.5087746004
560	0.508678539
561	0.5085734589
562	0.5085018798
563	0.5083975344
564	0.5083076291
565	0.5082394906
566	0.5081377393
567	0.5080586895
568	0.5079776147
569	0.5079154533
570	0.5078362762
571	0.5077681831
572	0.5077036558
573	0.507617712
574	0.5075357141
575	0.5074527735
576	0.5073841478
577	0.5073175974
578	0.507246846
579	0.5071719764
580	0.5070887976
581	0.5070107447
582	0.5069362127
583	0.5068510796
584	0.5067825593
585	0.5067169129
586	0.5066703664
587	0.5065941094
588	0.5065066376
589	0.5064267874
590	0.5063482126
591	0.5062709691
592	0.5061670444
593	0.5061014904
594	0.5060345641
595	0.5059556246
596	0.5058990246
597	0.5058277719
598	0.505755254
599	0.5056585511
600	0.5055670518
601	0.5054826839
602	0.5054069704
603	0.5053399944
604	0.5052818728
605	0.5052173589
606	0.5051552079
607	0.5050620896
608	0.5049865859
609	0.5049082258
610	0.5048122012
611	0.5047345624
612	0.5046539934
613	0.5045876771
614	0.5045326076
615	0.50445158
616	0.5043849563
617	0.5043274886
618	0.5042696045
619	0.5042001528
620	0.5041222176
621	0.504057076
622	0.5039929672
623	0.5039250713
624	0.503857388
625	0.503782412
626	0.5037254751
627	0.5036333154
628	0.5035666084
629	0.503513588
630	0.5034577879
631	0.5033949289
632	0.5033426197
633	0.5032894107
634	0.5032220532
635	0.5031390563
636	0.5030738978
637	0.5029849228
638	0.5029279885
639	0.5028596392
640	0.502780464
641	0.5027051558
642	0.5026516713
